添字,タイトル,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10,
1,ガメラ 大怪獣空中決戦,難しい,0.016918,優しい,0.009668,良い,0.008694,悪い,0.005980,珍しい,0.004136,若い,0.003297,眩い,0.003008,憎い,0.002600,渋い,0.002423,楽しい,0.002264,
2,モンスターズ・インク,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456,
3,トイ・ストーリー,美しい,0.009798,良い,0.007153,渋い,0.003455,空しい,0.002932,悪い,0.002906,逞しい,0.002296,若い,0.001607,怖い,0.001437,手強い,0.001269,つらい,0.001168,
4,パラサイト・イヴ,古い,0.013489,古臭い,0.012227,悪い,0.004767,若い,0.002656,凄い,0.001404,渋い,0.001094,細かい,0.000952,楽しい,0.000926,空しい,0.000620,物足りない,0.000466,
5,クレイマー、クレイマー,力強い,0.024949,暗い,0.017309,良い,0.007041,空しい,0.005369,悪い,0.003455,細かい,0.003146,大切な,0.003012,逞しい,0.002060,凛々しい,0.001161,物足りない,0.000681,
6,水戸黄門 天下の副将軍,良い,0.037484,暗い,0.022383,古い,0.019372,微笑ましい,0.015814,若い,0.013462,悪い,0.010754,楽しい,0.005463,細かい,0.003642,優しい,0.003591,逞しい,0.002880,
7,風と共に去りぬ,色っぽい,0.012979,手強い,0.010771,若い,0.005470,凛々しい,0.004694,良い,0.004036,切ない,0.002359,物足りない,0.002249,優しい,0.002241,悪い,0.001910,逞しい,0.001135,
8,バットマン ビギンズ,古い,0.014507,難しい,0.006255,力強い,0.004559,良い,0.003751,怖い,0.002874,渋い,0.002674,空しい,0.002571,楽しい,0.002338,逞しい,0.001149,つらい,0.000747,
9,踊る大捜査線 THE MOVIE 2 レインボーブリッジを封鎖せよ!,面白い,0.023261,素晴らしい,0.010954,良い,0.005136,楽しい,0.004264,古臭い,0.001246,憎い,0.001175,若い,0.001078,凄い,0.000805,凛々しい,0.000774,手強い,0.000454,
10,スーパーの女,色っぽい,0.022826,空しい,0.016755,若い,0.014113,優しい,0.004524,逞しい,0.001821,細かい,0.001172,渋い,0.001133,古臭い,0.000855,難しい,0.000697,悪い,0.000681,
11,ショーシャンクの空に,若い,0.020932,優しい,0.009186,深い,0.004688,憎い,0.004613,悪い,0.002390,つらい,0.001942,素晴らしい,0.001651,逞しい,0.001402,空しい,0.001338,怖い,0.000975,
12,ナビィの恋,若い,0.010266,色っぽい,0.006901,おびただしい,0.001960,素晴らしい,0.001936,空しい,0.001035,良い,0.000816,悪い,0.000814,逞しい,0.000650,凛々しい,0.000214,細かい,0.000145,
13,マルサの女,愛らしい,0.003812,厳しい,0.002489,つまらない,0.002061,良い,0.001526,若い,0.001415,空しい,0.000679,悪い,0.000672,珍しい,0.000291,凛々しい,0.000228,大切な,0.000218,
14,ラヂオの時間,嬉しい,0.004839,面白い,0.004522,つまらない,0.004460,楽しい,0.004022,良い,0.002159,悪い,0.001133,優しい,0.000836,凛々しい,0.000790,若い,0.000517,大切な,0.000274,
15,チャーリーとチョコレート工場,貧しい,0.009065,渋い,0.004139,悪い,0.002916,手強い,0.002284,楽しい,0.001937,怖い,0.001635,逞しい,0.001039,凛々しい,0.000891,若い,0.000773,優しい,0.000409,
16,禁じられた遊び,強い,0.170371,良い,0.047187,悪い,0.016320,清々しい,0.008775,つらい,0.008363,若い,0.007845,憎い,0.007102,渋い,0.006886,空しい,0.006813,優しい,0.005251,
17,ウォーターボーイズ,古臭い,0.011088,古臭い,0.011088,良い,0.005488,貧しい,0.003673,渋い,0.003581,若い,0.003496,逞しい,0.003054,楽しい,0.002095,微笑ましい,0.001181,細かい,0.001008,
18,耳をすませば,難しい,0.025090,古臭い,0.006590,若い,0.004057,悪い,0.003147,凛々しい,0.002894,楽しい,0.001767,手強い,0.001319,空しい,0.000963,大切な,0.000864,逞しい,0.000849,
19,ダイ・ハード2,古い,0.012058,空しい,0.004478,細かい,0.002515,凛々しい,0.001986,悪い,0.001499,珍しい,0.001102,物足りない,0.000997,若い,0.000955,逞しい,0.000794,楽しい,0.000599,
20,ローマの休日,細かい,0.010200,切ない,0.008759,凄い,0.005887,良い,0.005079,悪い,0.004908,渋い,0.003837,つらい,0.003797,空しい,0.001886,凛々しい,0.001780,逞しい,0.001076,
21,名探偵コナン 銀翼の奇術師,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456,
22,ダンサー・イン・ザ・ダーク,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456,
23,ジョーズ2,難しい,0.036258,珍しい,0.028153,悪い,0.022051,微笑ましい,0.008543,憎い,0.007217,空しい,0.006485,良い,0.004583,若い,0.002816,優しい,0.001770,古臭い,0.001686,
24,プレデター,危うい,0.035003,親切な,0.024383,怖い,0.021454,力強い,0.008195,難しい,0.007865,つらい,0.003845,優しい,0.003496,豊かな,0.003002,逞しい,0.002867,楽しい,0.002488,
25,12モンキーズ,良い,0.015399,空しい,0.005967,悪い,0.005412,楽しい,0.004058,凛々しい,0.002744,力強い,0.002103,古臭い,0.001842,古臭い,0.001842,渋い,0.001692,手強い,0.001622,
26,マスク2,面白い,0.011527,素晴らしい,0.002222,清々しい,0.000926,微笑ましい,0.000786,物足りない,0.000767,優しい,0.000694,悪い,0.000572,楽しい,0.000459,逞しい,0.000328,貧しい,0.000050,
27,ザ・ロック,深い,0.043059,つらい,0.004175,強い,0.002099,良い,0.001938,逞しい,0.001839,手強い,0.001500,物足りない,0.001130,悪い,0.000913,優しい,0.000633,古臭い,0.000587,
28,エイリアンVSプレデター,美しい,0.029922,珍しい,0.013023,悪い,0.004228,悲しい,0.002173,汚い,0.001913,若い,0.001877,空しい,0.001662,手強い,0.001225,楽しい,0.001022,貧しい,0.000690,
29,ガメラ3 邪神覚醒,手強い,0.023385,力強い,0.010341,ひどい,0.009223,凛々しい,0.006061,逞しい,0.005556,悪い,0.001903,若い,0.001735,優しい,0.001029,楽しい,0.000908,つまらない,0.000489,
30,戦国自衛隊,古い,0.017120,古臭い,0.013756,良い,0.004484,凄い,0.003575,悪い,0.002863,若い,0.002333,楽しい,0.001661,珍しい,0.001438,逞しい,0.000883,凛々しい,0.000533,
31,SHINOBI,愛らしい,0.010849,悪い,0.008413,怖い,0.002568,切ない,0.002315,古臭い,0.002274,古臭い,0.002274,渋い,0.001141,物足りない,0.000989,若い,0.000705,見事な,0.000644,
32,スパイダーマン,愛らしい,0.007313,偉い,0.005614,若い,0.003031,逞しい,0.001757,優しい,0.001001,凛々しい,0.000799,憎い,0.000610,悪い,0.000594,空しい,0.000486,大切な,0.000293,
33,ランボー,危うい,0.012064,偉い,0.011879,手強い,0.011585,逞しい,0.008756,つらい,0.006811,悪い,0.004121,古臭い,0.002764,憎い,0.002689,良い,0.001996,若い,0.001847,
34,マルタイの女,色っぽい,0.039567,美しい,0.014193,面白い,0.011090,良い,0.009734,若い,0.008870,渋い,0.004293,手強い,0.002627,楽しい,0.002615,派手な,0.001206,空しい,0.001084,
35,ガメラ2 レギオン襲来,いかがわしい,0.048608,おかしい,0.026609,恐ろしい,0.023904,怖い,0.009196,珍しい,0.008293,悪い,0.006701,良い,0.004317,若い,0.003911,逞しい,0.002747,貧しい,0.001037,
36,ラストサムライ,古い,0.136494,古臭い,0.120182,若い,0.021508,悪い,0.010296,良い,0.003184,逞しい,0.001999,つまらない,0.001205,楽しい,0.001192,細かい,0.001019,怖い,0.000867,
37,トータル・リコール,怖い,0.007595,古臭い,0.005430,若い,0.005162,悪い,0.004784,楽しい,0.003218,渋い,0.002590,珍しい,0.002473,良い,0.002355,逞しい,0.001471,物足りない,0.000706,
38,鉄道員,若い,0.019648,面白い,0.009601,良い,0.008100,憎い,0.006264,珍しい,0.003809,優しい,0.003778,大切な,0.003131,楽しい,0.002764,凛々しい,0.001625,逞しい,0.001075,
39,ダーティハリー,愛らしい,0.003102,良い,0.002827,偉い,0.002265,空しい,0.002128,古い,0.001905,悪い,0.001844,逞しい,0.001401,眩い,0.000939,細かい,0.000935,楽しい,0.000663,
40,フランケンシュタイン,深い,0.013619,おびただしい,0.004636,若い,0.003861,凛々しい,0.002851,力強い,0.002179,細かい,0.001748,悪い,0.001476,楽しい,0.001408,貧しい,0.000964,古臭い,0.000941,
41,もののけ姫,悲しい,0.033003,懐かしい,0.017448,切ない,0.014154,古い,0.013670,憎い,0.010237,若い,0.008300,空しい,0.005390,凛々しい,0.003677,悪い,0.003224,大切な,0.003021,
42,さらば宇宙戦艦ヤマト 愛の戦士たち,青白い,0.081229,暗い,0.025950,色っぽい,0.010564,巧い,0.009558,古い,0.008806,渋い,0.006826,逞しい,0.005164,良い,0.002982,悪い,0.002303,楽しい,0.001747,
43,最終兵器彼女,強い,0.015735,手強い,0.014890,良い,0.013657,若い,0.009518,悪い,0.007848,怖い,0.004464,古い,0.003688,優しい,0.003424,物足りない,0.002982,大切な,0.002712,
44,名探偵コナン 探偵たちの鎮魂歌,貧しい,0.023330,細かい,0.011759,手強い,0.010079,若い,0.007671,渋い,0.003082,良い,0.002440,楽しい,0.001920,大切な,0.001815,素晴らしい,0.000785,清々しい,0.000679,
45,ターミネーター2,恐ろしい,0.066186,悪い,0.060091,怖い,0.022907,楽しい,0.014485,凛々しい,0.011505,良い,0.011075,つらい,0.007399,若い,0.005785,貧しい,0.004316,優しい,0.004194,
