
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価

1人目への推薦結果
1位,オペラ座の怪人,0.516026,4
2位,アイ.ロボット,0.426923,3
3位,バトル・ロワイアル,0.426923,5
4位,水戸黄門 天下の副将軍,0.308333,3
5位,マトリックス・レボリューションズ,0.225641,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

2人目への推薦結果
1位,水戸黄門 天下の副将軍,0.525641,4
2位,禁じられた遊び,0.446154,4
3位,アポロ13,0.220513,5
4位,最終兵器彼女,0.157692,3
5位,スウィングガールズ,0.153846,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

3人目への推薦結果
1位,天空の城ラピュタ,0.707619,4
2位,スター・ウォーズ エピソード2/クローンの攻撃,0.707619,4
3位,スター・ウォーズ,0.707619,3
4位,プライベート・ライアン,0.498095,4
5位,水戸黄門 天下の副将軍,0.358095,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

4人目への推薦結果
1位,ラストサムライ,1.128205,5
2位,天空の城ラピュタ,0.291453,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.291453,5
4位,スター・ウォーズ,0.291453,5
5位,砂の器,0.170940,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

5人目への推薦結果
1位,禁じられた遊び,0.408696,5
2位,アポロ13,0.357971,5
3位,モスラ,0.233333,5
4位,日本沈没,0.223188,5
5位,リング0 バースデイ,0.217391,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

6人目への推薦結果
1位,ラストサムライ,0.615385,3
2位,水戸黄門 天下の副将軍,0.511795,4
3位,禁じられた遊び,0.313333,4
4位,マトリックス・レボリューションズ,0.164103,3
5位,天空の城ラピュタ,0.158974,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

7人目への推薦結果
1位,水戸黄門 天下の副将軍,0.675556,5
2位,禁じられた遊び,0.407778,5
3位,アポロ13,0.316667,5
4位,モスラ,0.230000,4
5位,日本沈没,0.220000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

8人目への推薦結果
1位,ラストサムライ,0.533333,3
2位,禁じられた遊び,0.443704,3
3位,水戸黄門 天下の副将軍,0.246667,3
4位,最終兵器彼女,0.175556,3
5位,ローマの休日,0.165926,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

9人目への推薦結果
1位,天空の城ラピュタ,1.142424,3
2位,プライベート・ライアン,0.533333,5
3位,戦国自衛隊,0.225253,5
4位,パラサイト・イヴ,0.188889,5
5位,ウォーターボーイズ,0.177778,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

10人目への推薦結果
1位,スター・ウォーズ,0.654248,5
2位,オペラ座の怪人,0.604575,5
3位,アイ.ロボット,0.483660,5
4位,マトリックス・レボリューションズ,0.313725,5
5位,戦国自衛隊,0.216340,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

11人目への推薦結果
1位,アナザヘヴン,1.413333,3
2位,禁じられた遊び,0.626667,5
3位,リング0 バースデイ,0.333333,4
4位,メカゴジラの逆襲,0.253333,4
5位,アポロ13,0.243333,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

12人目への推薦結果
1位,バトル・ロワイアル,0.511538,5
2位,マトリックス・レボリューションズ,0.246154,5
3位,2001年宇宙の旅,0.238462,5
4位,天空の城ラピュタ,0.238462,5
5位,日本沈没,0.207051,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

13人目への推薦結果
1位,ラストサムライ,1.144737,5
2位,オペラ座の怪人,0.429825,5
3位,禁じられた遊び,0.371053,3
4位,アイ.ロボット,0.324561,5
5位,水戸黄門 天下の副将軍,0.292105,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

14人目への推薦結果
1位,アナザヘヴン,0.519608,5
2位,水戸黄門 天下の副将軍,0.365686,4
3位,アポロ13,0.156863,5
4位,ジョーズ2,0.129412,5
5位,リング0 バースデイ,0.122549,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

15人目への推薦結果
1位,禁じられた遊び,0.390476,4
