添字,タイトル,制作年度,監督,ジャンル1,ジャンル2,主演1,主演2,主演3,主演4,主演5,脚本1,脚本2,脚本3,脚本4,受賞歴,制作国1,制作国2,制作国3,制作国4,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10
1,ガメラ 大怪獣空中決戦,1995,金子修介,特撮,0,藤谷文子,小野寺昭,中山忍,伊原剛志,本田博太郎,伊藤和典,0,0,0,星雲賞演劇部門メディア部門,日本,0,0,0,難しい,0.016918,優しい,0.009668,良い,0.008694,手強い,0.004409,珍しい,0.004136,若い,0.003297,憎い,0.0026,楽しい,0.002264,古臭い,0.001347,貧しい,0.001324
2,モンスターズ・インク,2001,ピート・ドクター,ファンタジー,アニメ,ジョン・グッドマン,ビリー・クリスタル,メアリー・ギブス,ジェームズ・コバーン,スティーブ・ブシェミ,ダン・ガーソン　,0,0,0,報知映画賞海外作品賞,アメリカ,0,0,0,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456
3,トイ・ストーリー,1995,ジョン・ラセター,ファミリー,アニメ,トム・ハンクス,ティム・アレン,唐沢寿明,所ジョージ,ドン・リックルズ,ジョズ・ウェドン,アンドリュー・スタントン,0,0,アニー賞映画部門作品賞,アメリカ,0,0,0,美しい,0.009798,良い,0.007153,空しい,0.002932,優しい,0.002666,逞しい,0.002296,古臭い,0.001447,怖い,0.001437,手強い,0.001269,つらい,0.001168,楽しい,0.000578
4,パラサイト・イヴ,1996,落合正幸,ホラー,0,三上博史,葉月里緒菜,別所哲也,中嶋朋子,稲垣吾郎,君塚良一,0,0,0,0,日本,0,0,0,古い,0.013489,古臭い,0.012227,良い,0.004318,若い,0.002656,凄い,0.001404,力強い,0.001022,楽しい,0.000926,逞しい,0.000726,空しい,0.00062,凛々しい,0.000329
5,クレイマー、クレイマー,1979,ロバート・ベントン,ドラマ,0,ダスティン・ホフマン,メリル・ストリープ,ジャスティン・ヘンリー,ジョージ・コー,ジェーン・アレクサンダー,ロバート・ベントン,0,0,0,アカデミー賞監督賞・脚色賞・作品賞・主演男優賞・助0,アメリカ,0,0,0,力強い,0.024949,暗い,0.017309,良い,0.007041,空しい,0.005369,憎い,0.003427,大切な,0.003012,逞しい,0.00206,若い,0.001751,凛々しい,0.001161,楽しい,0.000474
6,水戸黄門 天下の副将軍,1959,松田定次,ドラマ,時代劇,月形龍之介,中村錦之助,美空ひばり,東千代之介,里見浩太郎,小国英雄,0,0,0,0,日本,0,0,0,良い,0.037484,暗い,0.022383,古い,0.019372,微笑ましい,0.015814,若い,0.013462,楽しい,0.005463,つらい,0.003881,優しい,0.003591,怖い,0.002942,逞しい,0.00288
7,風と共に去りぬ,1952,ヴィクター・フレミング,ドラマ,0,ヴィヴィアン・リー,クラーク・ゲイブル,レスリー・ハワード,オリビア・デ・ハビランド,トーマス・ミッチェル,シドニー・ハワード,0,0,0,アカデミー賞監督賞・脚色賞・主演女優賞・助演女優賞MTVムービー・アウォーズヒーロー賞,アメリカ,0,0,0,愛らしい,0.011923,手強い,0.010771,若い,0.00547,凛々しい,0.004694,貧しい,0.003353,優しい,0.002241,難しい,0.001528,微笑ましい,0.001307,逞しい,0.001135,珍しい,0.00057
8,バットマン ビギンズ,2005,クリストファー・ノーラン,アクション,サスペンス,クリスチャン・ベイル,リーアム・ニーソン,マイケル・ケイン,モーガン・フリーマン,渡辺謙,クリストファー・ノーラン,デヴィッド・S・ゴイヤー,0,0,MTVムービー・アウォーズヒーロー賞,アメリカ,0,0,0,古い,0.014507,難しい,0.006255,力強い,0.004559,良い,0.003751,怖い,0.002874,空しい,0.002571,楽しい,0.002338,逞しい,0.001149,たまらない,0.000541,残念な,0.000374
9,踊る大捜査線 THE MOVIE 2 レインボーブリッジを封鎖せよ!,2003,本広克行,アクション,コメディ,織田裕二,柳葉敏郎,深津絵里,水野美紀,ユースケ・サンタマリア,君塚良一,0,0,0,日刊スポーツ映画大賞石原裕次郎賞,日本,0,0,0,面白い,0.023261,素晴らしい,0.010954,良い,0.005136,楽しい,0.004264,古臭い,0.001246,憎い,0.001175,若い,0.001078,凛々しい,0.000774,手強い,0.000454,逞しい,0.000405
10,スーパーの女,1996,伊丹十三,コメディ,0,宮本信子,津川雅彦,金田龍之介,矢野宣,六平直政,伊丹十三,0,0,0,0,日本,0,0,0,空しい,0.016755,若い,0.014113,優しい,0.004524,逞しい,0.001821,微笑ましい,0.001096,古臭い,0.000855,古臭い,0.000855,難しい,0.000697,珍しい,0.000631,良い,0.000449
11,ショーシャンクの空に,1994,フランク・ダラボン,ドラマ,0,ティム・ロビンス,モーガン・フリーマン,ウィリアム・サドラー,ボブ・ガントン,ジエームズ・ホイットモア,フランク・ダラボン,0,0,0,報知映画賞海外作品賞,アメリカ,0,0,0,若い,0.020932,可愛い,0.006113,深い,0.004688,憎い,0.004613,良い,0.002096,つらい,0.001942,逞しい,0.001402,力強い,0.001136,古い,0.000993,怖い,0.000975
12,ナビィの恋,1999,中江裕司,ロマンス,青春,西田尚美,村上淳,平良とみ,登川誠仁,平良進,中江裕司,0,0,0,報知映画賞監督賞・助演女優賞・最優秀監督賞　日本映日本アカデミー賞作品賞・主演女優賞・主演男優賞・助日本アカデミー賞助演男優賞　報知映画賞作品賞　日刊日本インターネット映画大賞外国映画部門主演男優賞,日本,0,0,0,若い,0.010266,おびただしい,0.00196,素晴らしい,0.001936,空しい,0.001035,良い,0.000816,逞しい,0.00065,凛々しい,0.000214,難しい,0.00018,古臭い,0.000081,no_image,0
13,マルサの女,1987,伊丹十三,サスペンス,犯罪,宮本信子,山崎努,津川雅彦,大地康雄,桜金造,伊丹十三,0,0,0,日本アカデミー賞作品賞・主演女優賞・主演男優賞・助日本アカデミー賞助演男優賞　報知映画賞作品賞　日刊日本インターネット映画大賞外国映画部門主演男優賞,日本,0,0,0,愛らしい,0.003812,良い,0.001526,若い,0.001415,空しい,0.000679,つらい,0.000478,賢い,0.000391,眩い,0.000382,珍しい,0.000291,凛々しい,0.000228,大切な,0.000218
14,ラヂオの時間,1997,三谷幸喜,コメディ,ドラマ,唐沢寿明,鈴木京香,西村雅彦,戸田恵子,井上順,三谷幸喜,0,0,0,日本アカデミー賞助演男優賞　報知映画賞作品賞　日刊日本インターネット映画大賞外国映画部門主演男優賞,日本,0,0,0,嬉しい,0.004839,面白い,0.004522,暗い,0.004298,楽しい,0.004022,良い,0.002159,優しい,0.000836,凛々しい,0.00079,手強い,0.000657,若い,0.000517,大切な,0.000274
15,チャーリーとチョコレート工場,2005,ティム・バートン,コメディ,ファンタジー,ジョニー・デップ,フレディ・ハイモア,デヴィッド・ケリー,ヘレナ・ボナム・カーター,ノア・テイラー,ジョン・オーガスト,0,0,0,日本インターネット映画大賞外国映画部門主演男優賞,アメリカ,0,0,0,貧しい,0.009065,暗い,0.002924,良い,0.00268,手強い,0.002284,楽しい,0.001937,逞しい,0.001039,凛々しい,0.000891,若い,0.000773,古臭い,0.000522,優しい,0.000409
16,禁じられた遊び,1951,ルネ・クレマン,ドラマ,0,ブリジット・フォッセー,ジョルジュ・プージュリー,シュザンヌ・クールタル,ジャック・マラン,リュシアン・ユベール,ジャン・オーランシュ,ピエール・ボスト,0,0,アカデミー賞名誉賞　ブルーリボン賞　外国作品賞　ヴ日本映画プロフェッショナル大賞特別賞,フランス,0,0,0,強い,0.170371,良い,0.047187,古い,0.014543,つらい,0.008363,若い,0.007845,憎い,0.007102,空しい,0.006813,優しい,0.005251,逞しい,0.005034,楽しい,0.003209
17,ウォーターボーイズ,2001,矢口史靖,青春,コメディ,妻夫木聡,玉木宏,三浦哲郎,近藤公園,金子貴俊,矢口史靖,0,0,0,日本映画プロフェッショナル大賞特別賞,日本,0,0,0,古臭い,0.011088,古臭い,0.011088,良い,0.005488,貧しい,0.003673,若い,0.003496,逞しい,0.003054,空しい,0.002359,楽しい,0.002095,微笑ましい,0.001181,眩い,0.000993
18,耳をすませば,1995,近藤喜文,青春,アニメ,本名陽子,高橋一生,立花隆,室井滋,露口茂,宮崎駿,0,0,0,0,日本,0,0,0,難しい,0.02509,古臭い,0.00659,若い,0.004057,凛々しい,0.002894,微笑ましい,0.001789,楽しい,0.001767,空しい,0.000963,大切な,0.000864,逞しい,0.000849,珍しい,0.00042
