0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
1,1.0,0.016840217228837627,0.015544815903542425,0.0,0.0,0.022669523192666036,0.0,0.0,0.020327836181555477,0.01220666633451248,0.0,0.0,0.0,0.0,0.0,0.03143839370235663,0.02326740072741767,0.035573713317722085,0.011558965671864879,0.024263863285337053,0.027851128493846845,0.029196352947038016,0.018434557321508643,0.01150914254396891,0.02381545513427333,0.0,0.0,0.0,0.03537442080613821,0.033680434457675254,0.0,0.03567335957351402,0.0,0.0,0.0,0.034228488864530913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02082606746051517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03158786308604454,0.0157441084151263,0.0,0.0,0.0332818494345075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022669523192666036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00792187733545912,0.0,0.0,0.0,0.0,0.0,0.0,0.014498530217727068,0.0,0.0,0.0,0.0,0.028598475412286384,0.0,0.0,0.0,0.0,0.03542424393403418,0.024164217029545115,0.0,0.0,0.0,0.0,0.0,0.033232026306611526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03432813512032285,0.0,0.0,0.0,0.014448707089831099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313238005081959,0.029096706691246078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024911563947984654,0.0,0.0,0.0,0.0,0.012854366997160081,0.0,0.013452244531911713,0.01943101987942803,0.0,0.0,0.0,0.0,0.0,0.024313686413233022,0.0,0.0,0.0,0.0,0.0,0.0,0.03666982213143341,0.02595784963380001,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0342347817279449,1.0,0.0166109591816064,0.0,0.0,0.02501772510888281,0.0,0.0,0.022485566697052567,0.015294236807454674,0.0,0.0,0.0,0.0,0.0,0.02917046490428441,0.022485566697052567,0.03241162767142713,0.016509672845133192,0.024004861744150716,0.028562746885445155,0.028765319558391574,0.02197913501468652,0.010027347310847767,0.02633444748303454,0.0,0.0,0.0,0.03190519598906107,0.03028461460548972,0.0,0.032715486680846756,0.0,0.0,0.0,0.032816773017319965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023397143725311455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03129747797022182,0.014382659779195787,0.0,0.0,0.02937303757723083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023701002734731084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00921705661906209,0.0,0.0,0.0,0.0,0.0,0.0,0.019345690266383064,0.0,0.0,0.0,0.0,0.028461460548971945,0.0,0.0,0.0,0.0,0.032614200344373546,0.023498430061784665,0.0,0.0,0.0,0.0,0.0,0.030487187278436138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030385900941962928,0.0,0.0,0.0,0.014281373442722577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02987946925959688,0.030588473614909347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026942165501873797,0.0,0.0,0.0,0.0,0.009723488301428137,0.0,0.011242783348526283,0.02116884432290084,0.0,0.0,0.0,0.0,0.0,0.02137141699584726,0.0,0.0,0.0,0.0,0.0,0.0,0.03251291400790034,0.024511293426516763,0.0,0.0,0.0,0.0,0.0,0.0
3,0.035044367067280695,0.018420757048186003,1.0,0.0,0.0,0.021453442659777604,0.0,0.0,0.019993260698640908,0.01179377737841177,0.0,0.0,0.0,0.0,0.0,0.030326856115915984,0.022127372795686846,0.032910254970234754,0.014489497922048747,0.02538470178591486,0.029091317533415702,0.026957205436369765,0.020217904077277322,0.012018420757048186,0.023138267999550714,0.0,0.0,0.0,0.033696506795462204,0.030214534426597776,0.0,0.03335954172750758,0.0,0.0,0.0,0.03257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022239694485005054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030214534426597776,0.016286644951140065,0.0,0.0,0.03145007300909806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021453442659777604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009435021902729417,0.0,0.0,0.0,0.0,0.0,0.0,0.015051106368639783,0.0,0.0,0.0,0.0,0.02718184881500618,0.0,0.0,0.0,0.0,0.032910254970234754,0.02706952712568797,0.0,0.0,0.0,0.0,0.0,0.031899359766370886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321240031450073,0.0,0.0,0.0,0.015051106368639783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03043917780523419,0.028192744018870043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02538470178591486,0.0,0.0,0.0,0.0,0.012130742446366393,0.0,0.01314163765023026,0.022127372795686846,0.0,0.0,0.0,0.0,0.0,0.022576659552959677,0.0,0.0,0.0,0.0,0.0,0.0,0.03392115017409862,0.026507918679096933,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.03470633104500381,0.01884057971014493,0.014569031273836765,0.0,0.0,1.0,0.0,0.0,0.02257818459191457,0.013348588863463006,0.0,0.0,0.0,0.0,0.0,0.02982456140350877,0.02265446224256293,0.03180778032036613,0.013806254767353166,0.02532418001525553,0.02723112128146453,0.028756674294431732,0.020137299771167048,0.010678871090770405,0.02745995423340961,0.0,0.0,0.0,0.03279938977879481,0.032646834477498096,0.0,0.033409610983981694,0.0,0.0,0.0,0.032646834477498096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02181540808543097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031273836765827616,0.015560640732265447,0.0,0.0,0.030358504958047292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532418001525553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.01861174675819985,0.0,0.0,0.0,0.0,0.028832951945080093,0.0,0.0,0.0,0.0,0.03272311212814645,0.02303585049580473,0.0,0.0,0.0,0.0,0.0,0.03150266971777269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031273836765827616,0.0,0.0,0.0,0.015179252479023646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030434782608695653,0.031121281464530894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02753623188405797,0.0,0.0,0.0,0.0,0.011975591151792525,0.0,0.011670480549199084,0.019450800915331808,0.0,0.0,0.0,0.0,0.0,0.02257818459191457,0.0,0.0,0.0,0.0,0.0,0.0,0.03272311212814645,0.02509534706331045,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.033738526420243116,0.018357727611014635,0.014719259075498222,0.0,0.0,0.024476970148019514,0.0,0.0,1.0,0.013809641941619119,0.0,0.0,0.0,0.0,0.0,0.0301000578847267,0.024559662614735796,0.032084677085917473,0.011494252873563218,0.024394277681303235,0.025965434548912595,0.028859670883982468,0.018771189944596048,0.012817332341023733,0.02497312494831721,0.0,0.0,0.0,0.032084677085917473,0.03183659968576863,0.0,0.0324154469527826,0.0,0.0,0.0,0.03125775241875465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019846192011907716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029851980484577854,0.015959646076242454,0.0,0.0,0.031009675018605805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02464235508145208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092615562722236,0.0,0.0,0.0,0.0,0.0,0.0,0.016373108409823867,0.0,0.0,0.0,0.0,0.02877697841726619,0.0,0.0,0.0,0.0,0.03258083188621517,0.024146200281154388,0.0,0.0,0.0,0.0,0.0,0.031423137352187214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315058298189035,0.0,0.0,0.0,0.01736541801041925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030761597618456957,0.028859670883982468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02621351194906144,0.0,0.0,0.0,0.0,0.017034648143554123,0.0,0.01422310427520053,0.020011576945340278,0.0,0.0,0.0,0.0,0.0,0.02497312494831721,0.0,0.0,0.0,0.0,0.0,0.0,0.033076986686512856,0.025386587281898618,0.0,0.0,0.0,0.0,0.0,0.0
10,0.03481102585961921,0.021454958795112247,0.014919011082693947,0.0,0.0,0.024865018471156578,0.0,0.0,0.023728331912475135,1.0,0.0,0.0,0.0,0.0,0.0,0.0319693094629156,0.021028701335606706,0.03239556692242114,0.013498152884342142,0.024865018471156578,0.025717533390167663,0.02884342142654163,0.020318272236430804,0.010372264847968172,0.02514919011082694,0.0,0.0,0.0,0.03168513782324524,0.032821824381926684,0.0,0.032537652742256326,0.0,0.0,0.0,0.03324808184143223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021454958795112247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03324808184143223,0.013782324524012504,0.0,0.0,0.029269678886047173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02188121625461779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006962205171923842,0.0,0.0,0.0,0.0,0.0,0.0,0.017192384200056834,0.0,0.0,0.0,0.0,0.02884342142654163,0.0,0.0,0.0,0.0,0.033532253481102586,0.022591645353793693,0.0,0.0,0.0,0.0,0.0,0.030548451264563795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030832622904234157,0.0,0.0,0.0,0.014919011082693947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296391020176186,0.02784882068769537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023728331912475135,0.0,0.0,0.0,0.0,0.011935208866155157,0.0,0.014066496163682864,0.020034100596760442,0.0,0.0,0.0,0.0,0.0,0.02287581699346405,0.0,0.0,0.0,0.0,0.0,0.0,0.032537652742256326,0.0247229326513214,0.0,0.0,0.0,0.0,0.0,0.0
