0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
1,0,0.007183643,0.009209799,0.00552588,0.009393995,0.004052312,0.008473015,0.009578191,0.010867563,0.007920427,0.006999447,0.002394548,0.011051759,0.004052312,0.005341684,0.009393995,0.007367839,0.009946583,0.008473015,0.009393995,0.003315528,0.003868116,0.010499171,0.008104623,0.006078467,0.009209799,0.008473015,0.009946583,0.006446859,0.009578191,0.005157488,0.008104623,0.009578191,0.008841407,0.006815251,0.007183643,0.007367839,0.006078467,0.009762387,0.005894272,0.012341131,0.008104623,0.005157488,0.006446859,0.011235955,0.006446859,0.009025603,0.009762387,0.009578191,0.005710076,0.008841407,0.009762387,0.011420151,0.009393995,0.008104623,0.006631055,0.010867563,0.0046049,0.004420704,0.010130779,0.005341684,0.008841407,0.005894272,0.0046049,0.004052312,0.009209799,0.009209799,0.010130779,0.006446859,0.007920427,0.005894272,0.006262663,0.004420704,0.006999447,0.004236508,0.010499171,0.004789096,0.004420704,0.010867563,0.004420704,0.008473015,0.010683367,0.008841407,0.00552588,0.006078467,0.006631055,0.008657211,0.009578191,0.006078467,0.006631055,0.011051759,0.008104623,0.008657211,0.006262663,0.009025603,0.006078467,0.008657211,0.006631055,0.006078467,0.004236508,0.005894272,0.007552035,0.009025603,0.007183643,0.005341684,0.007920427,0.006815251,0.009578191,0.008288819,0.009209799,0.006262663,0.003868116,0.011604347,0.003315528,0.003499724,0.008104623,0.005157488,0.011604347,0.006631055,0.006631055,0.005894272,0.003499724,0.008657211,0.002394548,0.008841407,0.006815251,0.010867563,0.007920427,0.005710076,0.004236508,0.009946583,0.005710076,0.009578191,0.008473015,0.006631055
2,0.001694253,0,0.015335158,0.005082758,0.009166341,0.00586472,0.005777836,0.004518007,0.013597463,0.008514705,0.011990095,0.001737695,0.008384378,0.003953256,0.006299144,0.007819627,0.008297493,0.015204831,0.006733568,0.009166341,0.002910639,0.004083583,0.011946653,0.005082758,0.006820453,0.01116469,0.010817151,0.010556497,0.005039315,0.005951605,0.005473739,0.007906512,0.009861419,0.003649159,0.00347539,0.00586472,0.006907337,0.006820453,0.007254876,0.006299144,0.008036839,0.004822103,0.010556497,0.004995873,0.011121248,0.005256527,0.003127851,0.012337634,0.008254051,0.004431122,0.007037665,0.006690126,0.010382727,0.00603849,0.011381902,0.004431122,0.009383553,0.005082758,0.005734393,0.010904036,0.005082758,0.006820453,0.005213085,0.006516356,0.006081932,0.009253226,0.009253226,0.009817976,0.010513054,0.011425344,0.004778661,0.005951605,0.006907337,0.007211434,0.003388505,0.011555671,0.004778661,0.005082758,0.009557322,0.005386854,0.008775359,0.004865546,0.012120422,0.007732743,0.008167166,0.004083583,0.010513054,0.010730266,0.003431948,0.006386029,0.012467961,0.003953256,0.006907337,0.005213085,0.010773709,0.00786307,0.007993397,0.008688475,0.007602415,0.007081107,0.00438768,0.006863895,0.011077805,0.008297493,0.004431122,0.006472914,0.004127026,0.007645858,0.007949954,0.008862244,0.005082758,0.006125375,0.010947478,0.00438768,0.002780312,0.011685999,0.008862244,0.013293366,0.009991746,0.010122073,0.00529997,0.004735219,0.010556497,0.001520483,0.009644207,0.008992571,0.0128155,0.004431122,0.00860159,0.004170468,0.010122073,0.006212259,0.011729441,0.008949129,0.001868022
3,0.001790639,0.012641908,0,0.005371916,0.008881567,0.004727286,0.005873294,0.00465566,0.013608853,0.009024818,0.012964223,0.001754826,0.008380188,0.004046843,0.005586792,0.008236937,0.008989005,0.015041364,0.006911865,0.009382946,0.002650145,0.004154281,0.012068904,0.005157039,0.006553737,0.011352648,0.011388461,0.010385704,0.005085413,0.006517924,0.00530029,0.007807184,0.009812699,0.003975218,0.003473839,0.005622605,0.006553737,0.006840239,0.006768614,0.006804426,0.00827275,0.005049601,0.01060058,0.004584035,0.011173585,0.005121226,0.003258962,0.012176342,0.008523439,0.003867779,0.006876052,0.007019303,0.01085127,0.005801669,0.012140529,0.004476596,0.009705261,0.00490635,0.005515167,0.011460087,0.004476596,0.006517924,0.005407728,0.006876052,0.005873294,0.009526197,0.009633635,0.009597823,0.010779644,0.011854027,0.005013788,0.005622605,0.006732801,0.007484869,0.003652903,0.011710776,0.004870537,0.005264477,0.009633635,0.00530029,0.008989005,0.00530029,0.01253447,0.007699746,0.007413244,0.004118469,0.009776886,0.01060058,0.003258962,0.00633886,0.012570283,0.004082656,0.007019303,0.004942162,0.011388461,0.007592307,0.008022061,0.007914622,0.007556495,0.006696988,0.003688715,0.006625363,0.011352648,0.008666691,0.004798911,0.006696988,0.00401103,0.007771371,0.008165312,0.009347133,0.005407728,0.005909107,0.01124521,0.004369158,0.002865022,0.010815457,0.008774129,0.014360921,0.009812699,0.009920138,0.005550979,0.004404971,0.010099201,0.001432511,0.009741074,0.008308563,0.013143287,0.004548222,0.007556495,0.004154281,0.009669448,0.005765856,0.012355406,0.009597823,0.001898077
4,0.002573782,0.010037749,0.012868909,0,0.008407687,0.004375429,0.006434454,0.00566232,0.012182567,0.00849348,0.009694578,0.001715854,0.009094029,0.005490734,0.005748113,0.007635553,0.008407687,0.012439945,0.009008236,0.009866163,0.003517502,0.0047186,0.011067261,0.00660604,0.006863418,0.010295127,0.010037749,0.0094372,0.005919698,0.008064516,0.005404942,0.009265614,0.01038092,0.004890185,0.004461222,0.006863418,0.00754976,0.006949211,0.007721345,0.006262869,0.009094029,0.005061771,0.007978723,0.003689087,0.011582018,0.004890185,0.003345916,0.012010981,0.009351407,0.004375429,0.007721345,0.007807138,0.012439945,0.0047186,0.010981469,0.005576527,0.009265614,0.005748113,0.005833905,0.012010981,0.004375429,0.007892931,0.00660604,0.006691833,0.005147563,0.009951956,0.009866163,0.009265614,0.008750858,0.010552505,0.005833905,0.006262869,0.006262869,0.005404942,0.004632807,0.011496225,0.004975978,0.00566232,0.010123542,0.004632807,0.009866163,0.005833905,0.011153054,0.006691833,0.008064516,0.005147563,0.009780371,0.010552505,0.003002745,0.007463967,0.011839396,0.005061771,0.008064516,0.004289636,0.008321894,0.006091283,0.006777625,0.008407687,0.006348662,0.006863418,0.003517502,0.005319149,0.010209334,0.008064516,0.006520247,0.006777625,0.005233356,0.008665065,0.009694578,0.009522992,0.005147563,0.004289636,0.010895676,0.004975978,0.002916953,0.009866163,0.006520247,0.013040494,0.008579272,0.007635553,0.005404942,0.004461222,0.00754976,0.001973233,0.01038092,0.009265614,0.014070007,0.004804393,0.007292382,0.0047186,0.009265614,0.005490734,0.012182567,0.010037749,0.001801647
5,0.002401469,0.00993549,0.011677732,0.004614588,0,0.00437915,0.008287423,0.005838866,0.013137449,0.010218016,0.009982578,0.00178933,0.01073598,0.004426237,0.005462165,0.009511701,0.008051985,0.011960258,0.008287423,0.010500542,0.002872345,0.004002449,0.012242784,0.006733531,0.006921882,0.010359279,0.009229175,0.009794227,0.004473325,0.007534021,0.004426237,0.007722371,0.011065593,0.00536799,0.002872345,0.006451005,0.008099072,0.007722371,0.009558789,0.006451005,0.009417526,0.005697603,0.007957809,0.004897114,0.011489382,0.005744691,0.003672835,0.011065593,0.009794227,0.004944201,0.007769459,0.007628196,0.011159768,0.006780619,0.008899562,0.005085464,0.009982578,0.005650516,0.005085464,0.011253944,0.004850026,0.008193248,0.006262655,0.00536799,0.004049536,0.010500542,0.009794227,0.010594717,0.009558789,0.009182088,0.00536799,0.006074304,0.00536799,0.007298583,0.00437915,0.012619485,0.005885954,0.005038376,0.01073598,0.004850026,0.009229175,0.007628196,0.010312191,0.006733531,0.006827706,0.004897114,0.009888402,0.011301031,0.003296134,0.006592268,0.011065593,0.004708763,0.008475773,0.004850026,0.008617036,0.006921882,0.009040825,0.007957809,0.008004897,0.005179639,0.003343222,0.005697603,0.010830155,0.007251495,0.004614588,0.007063145,0.004850026,0.00993549,0.008569949,0.009511701,0.005509253,0.005744691,0.012384047,0.003719923,0.002071856,0.009794227,0.007769459,0.012336959,0.007439846,0.008664124,0.005179639,0.003343222,0.009182088,0.001459717,0.010406366,0.008522861,0.012054433,0.004755851,0.007298583,0.004944201,0.011018505,0.004944201,0.011442294,0.009841315,0.001930593
6,0.002269211,0.013924703,0.013615266,0.005260444,0.009592573,0,0.005569881,0.004022692,0.01351212,0.008251676,0.013099536,0.002062919,0.006910779,0.002991233,0.005673027,0.008870552,0.005363589,0.014543579,0.005673027,0.00866426,0.002269211,0.004022692,0.01351212,0.002888087,0.005982465,0.011655493,0.010727179,0.012068076,0.007839092,0.007735946,0.007013925,0.005879319,0.009489428,0.003094379,0.00433213,0.003919546,0.004951006,0.007220217,0.007735946,0.007323363,0.003919546,0.00484786,0.013718412,0.006188757,0.009489428,0.005466735,0.003197524,0.011758638,0.0076328,0.004744714,0.005157298,0.004022692,0.008561114,0.007942238,0.011861784,0.002372357,0.008457968,0.004538422,0.005673027,0.010830325,0.005776173,0.005879319,0.002062919,0.008045384,0.007117071,0.006910779,0.007013925,0.009076844,0.011242909,0.01351212,0.002269211,0.004744714,0.009592573,0.008561114,0.005157298,0.010211449,0.00433213,0.005569881,0.009592573,0.007117071,0.006910779,0.005673027,0.01248066,0.009489428,0.009386282,0.005466735,0.010830325,0.00917999,0.003403816,0.007220217,0.012790098,0.003919546,0.002475503,0.006188757,0.014337287,0.005466735,0.010211449,0.009283136,0.00814853,0.009695719,0.001547189,0.009798865,0.010520887,0.009592573,0.002681795,0.007839092,0.001444043,0.005776173,0.006188757,0.008354822,0.005879319,0.008045384,0.010933471,0.00484786,0.0038164,0.012790098,0.011242909,0.011552347,0.011242909,0.008870552,0.005776173,0.006601341,0.013305828,0.001237751,0.007013925,0.00814853,0.012171222,0.006601341,0.010417741,0.002166065,0.012068076,0.005776173,0.009592573,0.007220217,0.002681795
7,0.002841787,0.00821647,0.010131587,0.004633348,0.010872923,0.00333601,0,0.007413356,0.01247915,0.010008031,0.008031136,0.001976895,0.013035152,0.005683573,0.005004016,0.011305369,0.009019584,0.010440477,0.010687589,0.014208933,0.003706678,0.004756904,0.010934701,0.007969358,0.006177797,0.009266695,0.007475134,0.007413356,0.003768456,0.00852536,0.003027121,0.009822697,0.011614258,0.006177797,0.003027121,0.007845802,0.008957806,0.008278248,0.009699141,0.006239575,0.011984926,0.007475134,0.004448014,0.00395379,0.013344042,0.005807129,0.00426268,0.009946253,0.010996479,0.004200902,0.009266695,0.009390251,0.013405819,0.005065794,0.00790758,0.006795577,0.009204918,0.006610243,0.004448014,0.011923148,0.003830234,0.008772472,0.007413356,0.00457157,0.003706678,0.01186137,0.011923148,0.010749367,0.007475134,0.007660468,0.005930685,0.006363131,0.003892012,0.005127572,0.005436461,0.011614258,0.006672021,0.005004016,0.010625811,0.002903565,0.010502255,0.009390251,0.009019584,0.004448014,0.00488046,0.006054241,0.008710694,0.01217026,0.002471119,0.006363131,0.009884475,0.005992463,0.012108482,0.002841787,0.005992463,0.007104467,0.008463582,0.007969358,0.005745351,0.004633348,0.003459566,0.004818682,0.009513807,0.005374683,0.007042689,0.006239575,0.005868907,0.01155248,0.010069809,0.011614258,0.006424909,0.003274232,0.012355594,0.003830234,0.001915117,0.00759869,0.005621795,0.014085377,0.005930685,0.006610243,0.005930685,0.003212454,0.006733799,0.001173781,0.011923148,0.009266695,0.013158708,0.0036449,0.004448014,0.006239575,0.009884475,0.005868907,0.011923148,0.011120035,0.001544449
8,0.004131247,0.008262493,0.010328116,0.005243505,0.009851434,0.003098435,0.009533646,0,0.011917057,0.009056964,0.007944705,0.001827282,0.011360928,0.005084611,0.005958529,0.009454199,0.008977516,0.010089775,0.009613093,0.010725352,0.003416223,0.004449035,0.010725352,0.008421387,0.006673552,0.010407563,0.009295305,0.009533646,0.004210694,0.008659728,0.004051799,0.009930881,0.01104314,0.007229681,0.003177882,0.007309128,0.007944705,0.006514658,0.009056964,0.006276317,0.011678716,0.007150234,0.005243505,0.005084611,0.011758163,0.005879082,0.004766823,0.009613093,0.009136411,0.005322952,0.008659728,0.009930881,0.012075951,0.006117423,0.009533646,0.00699134,0.010248669,0.006832446,0.004687376,0.010725352,0.00484627,0.008500834,0.007706364,0.004528482,0.003416223,0.009771987,0.010169222,0.009454199,0.00754747,0.008500834,0.00564074,0.005958529,0.003575117,0.006276317,0.004210694,0.011917057,0.005561293,0.005322952,0.01183761,0.004131247,0.009374752,0.009136411,0.009613093,0.00484627,0.005720187,0.005005164,0.009454199,0.010169222,0.005005164,0.006832446,0.010884246,0.006117423,0.00969254,0.004528482,0.006355764,0.007150234,0.00754747,0.007944705,0.006117423,0.004687376,0.005243505,0.005005164,0.01048701,0.006435211,0.007785811,0.009136411,0.007388576,0.010169222,0.009136411,0.010248669,0.005799635,0.003734011,0.012155398,0.004528482,0.0027012,0.008024152,0.006037976,0.012075951,0.00564074,0.007229681,0.005402399,0.003734011,0.00699134,0.001668388,0.009930881,0.008580281,0.011996504,0.005084611,0.006037976,0.00564074,0.009613093,0.005084611,0.010804799,0.009613093,0.003575117
9,0.001967585,0.010438204,0.012672581,0.004735543,0.009304342,0.004368705,0.006736477,0.005002334,0,0.009604482,0.010805042,0.001434003,0.009571133,0.004568799,0.005369172,0.007903688,0.00877076,0.013939839,0.008070433,0.010238111,0.002968052,0.003835123,0.012038952,0.005836057,0.006069499,0.011405322,0.010138064,0.010338158,0.00453545,0.006903222,0.005102381,0.007903688,0.010738345,0.004668845,0.003101447,0.006469686,0.007303408,0.007436804,0.007470153,0.00603615,0.009437738,0.005402521,0.009437738,0.004802241,0.011905556,0.005769359,0.00333489,0.011938905,0.00937104,0.004135263,0.006969919,0.007336757,0.011138531,0.005602615,0.010038018,0.00483559,0.009937971,0.00543587,0.004868939,0.010971787,0.004602148,0.007003268,0.00573601,0.00573601,0.004935637,0.010238111,0.010071367,0.009771227,0.010038018,0.00997132,0.005302474,0.00633629,0.006169546,0.007303408,0.003434936,0.012505836,0.004868939,0.005235777,0.009604482,0.004802241,0.009871273,0.00603615,0.012439138,0.00693657,0.007336757,0.004302008,0.009737878,0.011071834,0.003268192,0.005936104,0.012605883,0.004368705,0.008537317,0.004602148,0.009270993,0.007336757,0.008637364,0.007336757,0.007636897,0.006102848,0.003201494,0.006236244,0.011972254,0.00817048,0.004868939,0.006202895,0.004668845,0.008904155,0.009504435,0.009937971,0.005569266,0.006236244,0.011905556,0.004468752,0.002634563,0.010371507,0.009404389,0.013639699,0.008937504,0.008237177,0.005335823,0.003735076,0.009737878,0.001333956,0.010704996,0.008570666,0.013406256,0.004302008,0.007570199,0.004735543,0.009771227,0.006236244,0.012472487,0.009871273,0.001634096
10,0.002092152,0.009536321,0.012260984,0.004816815,0.010558069,0.003892376,0.007882061,0.005546636,0.014012553,0,0.010266141,0.001848879,0.010509415,0.005157398,0.004962779,0.008125335,0.008757846,0.012358293,0.00807668,0.010314796,0.002676008,0.004232959,0.01119058,0.005935873,0.006519729,0.011385199,0.010022868,0.009974213,0.005011434,0.007687442,0.004719506,0.0088065,0.010801343,0.005643945,0.003162555,0.006130492,0.007930716,0.008417263,0.007736097,0.006276456,0.009001119,0.005643945,0.008319953,0.00476816,0.011774437,0.00642242,0.003405829,0.011774437,0.009828249,0.004476232,0.00807668,0.007006276,0.011336545,0.005838564,0.009293047,0.004427577,0.009341702,0.005838564,0.005206053,0.011628473,0.004524887,0.006957622,0.005935873,0.005741254,0.005011434,0.010022868,0.009682285,0.010266141,0.009925558,0.009584975,0.005254707,0.006519729,0.006227801,0.008125335,0.003649102,0.012990804,0.005838564,0.005157398,0.010022868,0.004524887,0.009487666,0.006227801,0.011093271,0.006227801,0.007103586,0.004378923,0.009779594,0.011725782,0.003162555,0.006276456,0.011628473,0.004476232,0.008271299,0.004135649,0.008563227,0.007736097,0.008757846,0.007638788,0.008319953,0.005741254,0.003162555,0.005643945,0.01119058,0.007784752,0.004816815,0.006860312,0.004281613,0.009439011,0.008855155,0.010022868,0.005789909,0.006179147,0.011579818,0.003795066,0.002432735,0.009244393,0.008465917,0.012990804,0.008222644,0.008271299,0.005206053,0.003795066,0.00890381,0.001605605,0.010022868,0.008271299,0.01284484,0.004719506,0.006714348,0.004573542,0.009828249,0.005741254,0.011628473,0.010071522,0.001702914
