0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
1,0,0.007283763,0.009256449,0.006069803,0.009408194,0.004248862,0.008497724,0.009256449,0.010925645,0.007890744,0.007132018,0.002579666,0.010925645,0.004097117,0.005462822,0.009408194,0.007283763,0.009711684,0.008345979,0.009408194,0.003641882,0.003945372,0.010622155,0.008345979,0.005766313,0.008952959,0.008345979,0.009863429,0.006069803,0.009256449,0.005462822,0.008194234,0.009408194,0.008649469,0.006980273,0.006980273,0.007132018,0.006221548,0.009863429,0.005766313,0.012291351,0.008345979,0.005007587,0.006525038,0.01107739,0.006373293,0.008649469,0.009863429,0.009559939,0.005918058,0.008497724,0.009559939,0.01138088,0.009559939,0.007890744,0.006828528,0.01047041,0.004855842,0.004704097,0.01016692,0.005311077,0.008952959,0.006069803,0.004855842,0.003945372,0.009256449,0.009104704,0.009711684,0.006373293,0.008345979,0.005918058,0.005918058,0.004248862,0.007132018,0.004552352,0.010318665,0.005007587,0.004855842,0.0107739,0.004400607,0.008952959,0.01016692,0.009104704,0.005311077,0.006221548,0.006828528,0.008497724,0.009256449,0.005918058,0.006980273,0.0107739,0.007890744,0.008649469,0.006069803,0.008952959,0.006221548,0.008497724,0.006373293,0.006069803,0.004400607,0.006069803,0.007435508,0.008801214,0.006980273,0.005462822,0.007890744,0.007132018,0.009559939,0.008649469,0.009559939,0.006221548,0.004097117,0.011532625,0.003338392,0.003490137,0.008042489,0.005766313,0.01138088,0.006373293,0.006221548,0.005918058,0.003793627,0.009104704,0.002276176,0.008952959,0.007435508,0.0107739,0.007738998,0.005614568,0.004248862,0.009559939,0.005614568,0.009559939,0.008345979,0.006676783
2,0.001823362,0,0.015232669,0.005508072,0.009154796,0.005925926,0.005811966,0.004710351,0.013561254,0.008395062,0.011775878,0.001861349,0.008243115,0.004064577,0.006495726,0.008015195,0.008129155,0.014890788,0.00679962,0.009268756,0.002924976,0.004102564,0.011851852,0.005204179,0.0065717,0.011168091,0.010712251,0.01048433,0.005014245,0.006153846,0.005660019,0.007863248,0.00980057,0.00368471,0.003760684,0.005925926,0.006951567,0.006609687,0.007331434,0.006495726,0.008091168,0.005014245,0.010218424,0.004900285,0.011282051,0.005204179,0.003152896,0.012079772,0.008243115,0.004710351,0.006837607,0.00668566,0.010446344,0.005963913,0.011358025,0.004596391,0.00957265,0.005128205,0.005811966,0.010940171,0.004976258,0.00691358,0.005432099,0.0065717,0.005963913,0.009154796,0.009230769,0.00991453,0.010712251,0.011282051,0.004710351,0.005925926,0.00691358,0.007065527,0.00357075,0.011320038,0.004786325,0.005394112,0.009648623,0.005394112,0.008736942,0.004824311,0.011813865,0.007559354,0.007977208,0.004330484,0.01037037,0.01037037,0.00334283,0.006381766,0.012459639,0.003950617,0.006989554,0.005128205,0.010446344,0.007711301,0.008129155,0.008774929,0.007369421,0.007065527,0.004672365,0.006723647,0.010940171,0.008281102,0.004748338,0.00645774,0.004368471,0.007559354,0.007863248,0.008888889,0.004938272,0.006077873,0.010978158,0.004520418,0.002811016,0.011699905,0.008812915,0.013181387,0.009990503,0.010104463,0.005546059,0.004786325,0.010446344,0.001595442,0.009762583,0.009078822,0.012763533,0.004482431,0.008395062,0.004064577,0.00991453,0.006077873,0.011775878,0.008964862,0.001937322
3,0.00189901,0.012483656,0,0.005728161,0.008716767,0.004607434,0.005977212,0.004794222,0.01376004,0.008903555,0.013075151,0.001867879,0.008374323,0.004140464,0.005634767,0.00831206,0.008841293,0.015098686,0.007066808,0.009401656,0.002646162,0.004140464,0.012047818,0.005292323,0.006381919,0.011549717,0.011487454,0.010584646,0.00498101,0.006537575,0.005416848,0.007845091,0.009775232,0.003984808,0.003673495,0.005759293,0.006475313,0.006662101,0.006848889,0.006911151,0.008405454,0.005198929,0.010397858,0.004482909,0.011456323,0.005012141,0.003268788,0.011954424,0.008436586,0.004171596,0.006755495,0.007066808,0.01092709,0.005790424,0.012203474,0.004638565,0.009806363,0.004949879,0.00544798,0.011425191,0.004389515,0.006599838,0.005665899,0.00712907,0.005821555,0.00949505,0.009526181,0.009619575,0.010864828,0.01186103,0.00498101,0.005541374,0.006693232,0.007378121,0.003735757,0.011549717,0.004887616,0.005354586,0.009712969,0.005261192,0.009152606,0.005198929,0.012452525,0.007440384,0.007191333,0.004327252,0.009557313,0.010397858,0.003144262,0.006319656,0.012732707,0.004109333,0.007160202,0.004794222,0.011300666,0.007378121,0.008000747,0.007813959,0.007284727,0.006630969,0.003922545,0.006506444,0.011300666,0.008623373,0.004949879,0.006662101,0.004171596,0.007751697,0.008125272,0.009277131,0.005198929,0.005883818,0.011269535,0.004389515,0.002957475,0.010740303,0.00877903,0.014413797,0.009712969,0.009712969,0.005759293,0.004327252,0.00996202,0.001400909,0.009806363,0.008280929,0.013012888,0.004545172,0.00734699,0.004109333,0.00949505,0.005634767,0.012421393,0.009650707,0.001961273
4,0.002798181,0.010143407,0.012871633,0,0.008464498,0.004267226,0.006435817,0.005806226,0.012242043,0.008324589,0.00972368,0.001888772,0.008604407,0.00524659,0.00601609,0.007694998,0.007904862,0.012521861,0.008814271,0.00972368,0.003427772,0.004547044,0.011052816,0.006435817,0.006505771,0.010493179,0.010213361,0.009653725,0.00601609,0.007694998,0.005806226,0.008604407,0.010143407,0.004826863,0.004686953,0.006925498,0.007345226,0.006575726,0.007834907,0.006295908,0.008884225,0.005036726,0.008114725,0.003917454,0.011542497,0.004826863,0.003427772,0.011612452,0.009373907,0.004826863,0.007205317,0.007485135,0.012102134,0.004966772,0.010912907,0.005316544,0.009443861,0.005666317,0.005736271,0.012172088,0.004547044,0.007904862,0.006435817,0.006855544,0.00524659,0.009793634,0.009583771,0.009164043,0.009164043,0.010772998,0.005526408,0.00601609,0.00664568,0.005736271,0.005106681,0.011192725,0.005106681,0.006155999,0.010143407,0.004686953,0.009653725,0.005806226,0.011262679,0.00664568,0.007974816,0.005526408,0.009653725,0.010073452,0.003147954,0.00741518,0.01189227,0.005036726,0.007694998,0.004267226,0.008604407,0.006086044,0.007135362,0.008674362,0.006505771,0.00664568,0.003847499,0.005666317,0.01035327,0.008324589,0.006295908,0.006715635,0.005386499,0.008464498,0.009164043,0.009513816,0.005106681,0.004616999,0.010982861,0.005106681,0.003287863,0.010003498,0.006995453,0.01266177,0.008604407,0.007555089,0.005666317,0.004826863,0.007764953,0.002028681,0.010003498,0.009443861,0.013920951,0.005176635,0.007135362,0.004407135,0.009094089,0.005526408,0.011822315,0.009793634,0.002098636
5,0.002528858,0.009829914,0.011420647,0.004935351,0,0.004282743,0.008361545,0.006118204,0.01301138,0.010156218,0.009829914,0.001794673,0.010686462,0.004568259,0.005791899,0.00929967,0.007994453,0.011910103,0.008402333,0.010482522,0.002855162,0.003997226,0.012236407,0.006893176,0.006852388,0.010441734,0.009340458,0.009952278,0.004445895,0.007545785,0.004649835,0.007790513,0.011053555,0.005384019,0.002977526,0.006485296,0.008076029,0.007586573,0.009625974,0.006362932,0.009585186,0.005587959,0.007708937,0.004731411,0.011706163,0.005710323,0.003589346,0.011094343,0.009829914,0.005302443,0.007668149,0.007627361,0.011094343,0.0068116,0.009014153,0.005343231,0.01011543,0.005751111,0.005302443,0.011216707,0.004853775,0.008035241,0.006281356,0.005343231,0.003956438,0.010564098,0.009829914,0.010482522,0.009544398,0.009054941,0.005261655,0.006077416,0.005343231,0.007137904,0.004405107,0.012399559,0.005914264,0.005424807,0.010604886,0.004812987,0.00929967,0.00742342,0.010237794,0.006526084,0.006770812,0.005098503,0.009748338,0.010931191,0.003263042,0.006648448,0.011257495,0.004690623,0.008565485,0.004731411,0.008239181,0.006852388,0.008973365,0.007912877,0.007872089,0.005343231,0.003630134,0.005587959,0.010768039,0.007097116,0.004853775,0.006974752,0.005139291,0.00991149,0.008320757,0.009585186,0.005343231,0.005751111,0.012317983,0.003874862,0.002243341,0.009993066,0.007790513,0.012114043,0.007341844,0.008606273,0.005384019,0.003548558,0.009054941,0.001468369,0.010441734,0.008565485,0.012073255,0.004772199,0.00721948,0.004976139,0.010890403,0.004976139,0.011339071,0.009585186,0.001998613
6,0.002480071,0.013817538,0.013108946,0.005403012,0.009300266,0,0.005668733,0.003897254,0.013551816,0.008237378,0.01275465,0.002214349,0.006731621,0.003277236,0.006023029,0.009211692,0.005403012,0.01408326,0.005668733,0.008680248,0.002480071,0.003897254,0.013374668,0.003011515,0.005580159,0.011691763,0.010628875,0.011868911,0.007705934,0.007883082,0.007263065,0.006023029,0.009300266,0.003277236,0.004960142,0.003985828,0.005048716,0.007174491,0.007528787,0.00761736,0.003897254,0.004871568,0.01319752,0.006023029,0.009565988,0.005491585,0.003188663,0.011603189,0.007794508,0.004960142,0.004960142,0.004074402,0.008414526,0.007971656,0.011691763,0.002568645,0.008857396,0.004605846,0.005757307,0.010717449,0.005845881,0.005934455,0.002037201,0.00806023,0.007174491,0.006820195,0.007174491,0.009300266,0.011160319,0.013374668,0.002302923,0.005048716,0.009565988,0.008591674,0.005225864,0.009920283,0.004162976,0.006111603,0.009654562,0.007263065,0.007085917,0.005403012,0.012223206,0.009477414,0.009123118,0.005934455,0.010894597,0.008768822,0.003277236,0.007085917,0.012488928,0.003631532,0.002480071,0.006023029,0.013906112,0.005403012,0.010274579,0.009034544,0.007794508,0.009654562,0.001771479,0.00938884,0.010540301,0.009654562,0.003188663,0.00761736,0.001682905,0.005757307,0.005934455,0.008414526,0.005845881,0.00806023,0.011071745,0.005048716,0.003897254,0.012931798,0.011337467,0.011426041,0.010983171,0.009123118,0.006288751,0.006554473,0.013286094,0.001417183,0.007440213,0.008148804,0.011691763,0.006643047,0.010806023,0.002214349,0.011603189,0.005668733,0.009654562,0.007528787,0.002657219
7,0.002909847,0.007950117,0.009976617,0.004780462,0.010652117,0.003325539,0,0.00737854,0.01241881,0.009872694,0.008002078,0.001922577,0.012782541,0.005767732,0.005404001,0.011379579,0.008937386,0.010548194,0.010859964,0.014237464,0.003637308,0.004624578,0.011119771,0.008313848,0.005871655,0.009301117,0.007586386,0.007846194,0.003741231,0.00872954,0.003221616,0.009924656,0.011795271,0.006079501,0.003117693,0.00805404,0.008885425,0.008209925,0.010132502,0.006235386,0.012107041,0.00737854,0.004156924,0.00368927,0.013354118,0.005975578,0.004208885,0.009768771,0.011015848,0.004624578,0.009353079,0.009353079,0.013354118,0.005300078,0.008002078,0.007118732,0.009249156,0.00639127,0.004468693,0.011899195,0.003897116,0.008937386,0.00737854,0.004676539,0.003533385,0.012003118,0.011951156,0.010548194,0.007222655,0.007846194,0.005819693,0.006287347,0.004001039,0.004988309,0.005352039,0.011327618,0.00670304,0.005352039,0.010496233,0.002805924,0.010808002,0.009249156,0.00872954,0.004053001,0.004572616,0.006079501,0.00872954,0.011899195,0.002390231,0.006339309,0.009820733,0.00602754,0.012159002,0.002753962,0.005767732,0.007014809,0.008209925,0.007586386,0.005559886,0.004676539,0.00368927,0.004572616,0.009249156,0.005196155,0.007222655,0.006339309,0.006079501,0.01174331,0.009872694,0.011639387,0.006131463,0.003169654,0.012210964,0.003949078,0.0020265,0.008002078,0.00571577,0.013977657,0.005923617,0.006547155,0.006287347,0.003221616,0.00670304,0.001195116,0.012107041,0.009197194,0.01309431,0.003741231,0.004624578,0.006235386,0.009768771,0.005975578,0.012003118,0.011119771,0.001610808
8,0.0040272,0.00818644,0.01016703,0.005479633,0.009902951,0.002904866,0.009374794,0,0.011883541,0.008978676,0.008252459,0.00198059,0.011289364,0.005017495,0.005941771,0.009176735,0.008780617,0.010233049,0.009836931,0.010497128,0.003168944,0.004291279,0.011091305,0.008714597,0.006403908,0.010497128,0.009506833,0.009638872,0.00396118,0.008648577,0.004225259,0.009968971,0.010959266,0.007196144,0.003168944,0.007526243,0.0080544,0.006403908,0.009242754,0.006271869,0.011619463,0.006932066,0.005347594,0.005017495,0.012015581,0.00613983,0.004621377,0.009506833,0.009176735,0.005611672,0.008648577,0.009902951,0.012015581,0.00600779,0.009572853,0.007196144,0.010365089,0.006667987,0.004819436,0.010563148,0.004885456,0.008450518,0.007790322,0.004621377,0.003499043,0.009902951,0.010233049,0.009242754,0.007526243,0.008318479,0.005809731,0.005941771,0.003697102,0.00607381,0.004357298,0.011883541,0.005545653,0.005611672,0.011949561,0.004159239,0.009506833,0.008780617,0.009704892,0.004753417,0.005809731,0.005017495,0.009110715,0.01003499,0.004951476,0.006866046,0.011157325,0.00607381,0.009704892,0.004423318,0.00613983,0.007064105,0.007592262,0.007658282,0.00613983,0.004687397,0.005545653,0.004951476,0.010233049,0.006403908,0.007658282,0.009044695,0.007724302,0.010299069,0.008978676,0.01016703,0.005479633,0.003895161,0.0120816,0.004555357,0.002904866,0.008384499,0.006271869,0.012015581,0.005611672,0.007130125,0.005413613,0.003895161,0.006866046,0.001584472,0.009704892,0.008714597,0.0120816,0.004885456,0.005875751,0.005611672,0.009506833,0.005281574,0.010761207,0.009506833,0.003697102
9,0.002052686,0.010177899,0.012601209,0.004989166,0.009094538,0.004361957,0.006813776,0.005131714,0,0.009664728,0.010776599,0.001539514,0.00955069,0.004675562,0.0053883,0.007811609,0.008723914,0.013770099,0.008182233,0.01012088,0.003022009,0.003734747,0.012145056,0.006044019,0.005787433,0.011603376,0.01014939,0.010548523,0.004561524,0.007098871,0.005245752,0.007982666,0.01071958,0.004704071,0.003250086,0.006471662,0.007127381,0.007326947,0.007669061,0.006015509,0.009465161,0.005502338,0.009294104,0.0047896,0.012259095,0.005758923,0.003449652,0.011745923,0.009351123,0.004475995,0.006870795,0.007241419,0.011061695,0.005673395,0.009978333,0.004960657,0.01012088,0.005416809,0.005017676,0.011061695,0.004590033,0.007070362,0.005644885,0.005844452,0.004818109,0.010234918,0.009921314,0.009864295,0.010092371,0.009949823,0.005331281,0.006329114,0.006129547,0.007212909,0.003506671,0.012259095,0.004818109,0.005473828,0.009721747,0.004818109,0.009835785,0.005872962,0.012373133,0.006699738,0.007212909,0.004561524,0.00955069,0.010662561,0.003193066,0.006072528,0.012686737,0.004418976,0.008438819,0.004475995,0.009094538,0.007013342,0.008723914,0.007241419,0.007412476,0.006186566,0.003307105,0.006243585,0.011831452,0.008210742,0.005046185,0.006386133,0.004675562,0.008980499,0.009465161,0.010063861,0.005331281,0.006329114,0.01194549,0.004447485,0.002736914,0.010462995,0.009607709,0.013485004,0.008723914,0.008068195,0.005445319,0.003820276,0.009835785,0.001311438,0.01074809,0.008666895,0.013199909,0.004475995,0.007526514,0.004618543,0.009493671,0.006129547,0.012344623,0.009835785,0.001710571
10,0.002168474,0.009216013,0.011926606,0.004962469,0.010383653,0.003878232,0.007923269,0.005671393,0.014136781,0,0.010216847,0.001876564,0.010425354,0.005254379,0.005087573,0.008131776,0.008715596,0.01234362,0.008173478,0.010258549,0.002627189,0.004170142,0.01146789,0.00617181,0.006213511,0.011551293,0.009966639,0.010175146,0.004920767,0.007798165,0.005087573,0.008715596,0.010717264,0.005713094,0.003336113,0.006296914,0.007714762,0.008131776,0.007881568,0.006255213,0.009090909,0.005671393,0.008256881,0.004670559,0.012093411,0.006588824,0.003461218,0.011592994,0.009674729,0.004795663,0.007798165,0.007005838,0.011259383,0.005921601,0.009299416,0.004587156,0.009591326,0.0058799,0.005379483,0.011592994,0.004545455,0.00704754,0.005796497,0.005838198,0.004837364,0.010091743,0.009674729,0.010091743,0.010050042,0.009549625,0.005212677,0.006338616,0.00617181,0.008131776,0.003628023,0.012802335,0.005629691,0.00529608,0.009966639,0.004587156,0.00971643,0.006046706,0.011134279,0.006130108,0.007005838,0.004670559,0.009507923,0.011301084,0.003044204,0.006296914,0.011843203,0.004503753,0.008173478,0.004086739,0.008381985,0.007464554,0.008882402,0.007506255,0.008048374,0.0058799,0.003252711,0.005713094,0.011092577,0.007923269,0.004962469,0.00675563,0.004378649,0.009507923,0.008798999,0.010133445,0.005629691,0.006296914,0.011634696,0.003919933,0.002376981,0.009299416,0.008673895,0.012802335,0.008048374,0.007964971,0.00529608,0.003919933,0.009132611,0.001626355,0.009966639,0.008215179,0.012844037,0.00500417,0.006672227,0.004670559,0.009549625,0.005796497,0.011509591,0.010050042,0.001793161
